financial year,drivers,shifts,orders,hours,pay,basic pay,shifts < ten,shifts < min,hourly pay,hourly basic pay,orders per hour,shifts < ten (%),shifts < min (%)
2017-18,21,1055,8818,3587.2,38286.31,26408.75,641,490,10.67,7.36,2.458,0.6076,0.4645
2018-19,40,3754,29565,12608.0,129979.81,126775.03,1770,902,10.31,10.06,2.345,0.4715,0.2403
2019-20,55,5789,37126,18444.5,173003.83,170380.12,3325,2273,9.38,9.24,2.013,0.5744,0.3926
2020-21,300,10556,57018,31234.1,291032.34,283680.03,5908,4769,9.32,9.08,1.826,0.5597,0.4518
2016-17,5,0,0,0,782.6,0,0,0,-,-,-,-,-
