Rider Id,Area,Correction
RI-3e8dbfe1_6559_4bdc_a8a3_d70ea762dce8,NHL,NHP
RI-bd905b10_5fa8_496b_b30e_b0e54e7e7785,BTN,Brighton
RI-1615848852703,DNF,Dundee
